"","Total_Electric_Vehicles","Total_Charging_Stations","CS_to_EV_Ratio_Percent","Does_CS_Exist","Zip_Code","City","County","fips","state"
"368",219,3,1.37,TRUE,98908,"Wide hollow","Yakima",53077,"WA"
"369",148,4,2.7,TRUE,98922,"Cle elum","Kittitas",53037,"WA"
"370",1,0,0,FALSE,98923,"Cowiche","Yakima",53077,"WA"
"371",16,0,0,FALSE,98925,"Easton","Kittitas",53037,"WA"
"372",204,8,3.92,TRUE,98926,"Ellensburg","Kittitas",53037,"WA"
"373",21,1,4.76,TRUE,98930,"Grandview","Yakima",53077,"WA"
"374",8,0,0,FALSE,98932,"Granger","Yakima",53077,"WA"
"375",5,0,0,FALSE,98934,"Kittitas","Kittitas",53037,"WA"
"376",3,0,0,FALSE,98935,"Mabton","Yakima",53077,"WA"
"377",23,0,0,FALSE,98936,"Moxee","Yakima",53077,"WA"
"378",18,1,5.56,TRUE,98937,"White pass","Yakima",53077,"WA"
"379",5,0,0,FALSE,98938,"Outlook","Yakima",53077,"WA"
"380",24,0,0,FALSE,98940,"Ronald","Kittitas",53037,"WA"
"381",12,0,0,FALSE,98941,"Roslyn","Kittitas",53037,"WA"
"382",69,0,0,FALSE,98942,"Selah","Yakima",53077,"WA"
"383",2,0,0,FALSE,98943,"South cle elum","Kittitas",53037,"WA"
"384",39,3,7.69,TRUE,98944,"Sunnyside","Yakima",53077,"WA"
"385",2,0,0,FALSE,98946,"Thorp","Kittitas",53037,"WA"
"386",3,0,0,FALSE,98947,"Tieton","Yakima",53077,"WA"
"387",8,1,12.5,TRUE,98948,"Toppenish","Yakima",53077,"WA"
"388",1,0,0,FALSE,98950,"Vantage","Kittitas",53037,"WA"
"389",8,3,37.5,TRUE,98951,"Wapato","Yakima",53077,"WA"
"390",2,1,50,TRUE,98952,"White swan","Yakima",53077,"WA"
"391",21,2,9.52,TRUE,98953,"Zillah","Yakima",53077,"WA"
"392",16,1,6.25,TRUE,99001,"Airway heights","Spokane",53063,"WA"
"393",26,0,0,FALSE,99003,"Chattaroy","Spokane",53063,"WA"
"394",113,0,0,FALSE,99004,"Cheney","Spokane",53063,"WA"
"395",83,0,0,FALSE,99005,"Colbert","Spokane",53063,"WA"
"396",53,1,1.89,TRUE,99006,"Deer park","Spokane",53063,"WA"
"397",3,0,0,FALSE,99008,"Edwall","Lincoln",53043,"WA"
"398",21,0,0,FALSE,99009,"Elk","Spokane",53063,"WA"
"399",11,2,18.18,TRUE,99011,"Fairchild air fo","Spokane",53063,"WA"
"400",1,0,0,FALSE,99012,"Fairfield","Spokane",53063,"WA"
"401",3,0,0,FALSE,99013,"Ford","Stevens",53065,"WA"
"402",147,2,1.36,TRUE,99016,"Greenacres","Spokane",53063,"WA"
"403",1,0,0,FALSE,99017,"Lamont","Whitman",53075,"WA"
"404",1,0,0,FALSE,99018,"Latah","Spokane",53063,"WA"
"405",144,7,4.86,TRUE,99019,"Liberty lake","Spokane",53063,"WA"
"406",42,1,2.38,TRUE,99021,"Mead","Spokane",53063,"WA"
"407",43,1,2.33,TRUE,99022,"Espanola","Spokane",53063,"WA"
"408",4,0,0,FALSE,99023,"Mica","Spokane",53063,"WA"
"409",26,0,0,FALSE,99025,"Newman lake","Spokane",53063,"WA"
"410",89,0,0,FALSE,99026,"Nine mile falls","Stevens",53065,"WA"
"411",32,0,0,FALSE,99027,"Otis orchards","Spokane",53063,"WA"
"412",6,0,0,FALSE,99029,"Reardan","Lincoln",53043,"WA"
"413",5,0,0,FALSE,99030,"Rockford","Spokane",53063,"WA"
"414",8,0,0,FALSE,99031,"Spangle","Spokane",53063,"WA"
"415",1,2,200,TRUE,99032,"Sprague","Lincoln",53043,"WA"
"416",3,0,0,FALSE,99033,"Tekoa","Whitman",53075,"WA"
"417",1,0,0,FALSE,99034,"Tumtum","Stevens",53065,"WA"
"418",14,0,0,FALSE,99036,"Valleyford","Spokane",53063,"WA"
"419",88,0,0,FALSE,99037,"Veradale","Spokane",53063,"WA"
"420",3,0,0,FALSE,99101,"Addy","Stevens",53065,"WA"
"421",15,0,0,FALSE,99109,"Chewelah","Stevens",53065,"WA"
"422",1,0,0,FALSE,99110,"Clayton","Stevens",53065,"WA"
"423",15,0,0,FALSE,99111,"Colfax","Whitman",53075,"WA"
